run_id,model_code,opaque_task_id,status
2026-09-OAI_GPT56_SOL_MAX-S26-09-010,OAI_GPT56_SOL_MAX,S26-09-010,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-002,OAI_GPT56_SOL_MAX,S26-09-002,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-007,OAI_GPT56_SOL_MAX,S26-09-007,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-011,OAI_GPT56_SOL_MAX,S26-09-011,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-005,OAI_GPT56_SOL_MAX,S26-09-005,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-006,OAI_GPT56_SOL_MAX,S26-09-006,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-009,OAI_GPT56_SOL_MAX,S26-09-009,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-004,OAI_GPT56_SOL_MAX,S26-09-004,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-012,OAI_GPT56_SOL_MAX,S26-09-012,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-003,OAI_GPT56_SOL_MAX,S26-09-003,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-001,OAI_GPT56_SOL_MAX,S26-09-001,PENDING_EXTERNAL_LAUNCH
2026-09-OAI_GPT56_SOL_MAX-S26-09-008,OAI_GPT56_SOL_MAX,S26-09-008,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-011,ANT_FABLE5_MAX,S26-09-011,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-012,ANT_FABLE5_MAX,S26-09-012,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-005,ANT_FABLE5_MAX,S26-09-005,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-004,ANT_FABLE5_MAX,S26-09-004,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-003,ANT_FABLE5_MAX,S26-09-003,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-002,ANT_FABLE5_MAX,S26-09-002,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-001,ANT_FABLE5_MAX,S26-09-001,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-010,ANT_FABLE5_MAX,S26-09-010,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-008,ANT_FABLE5_MAX,S26-09-008,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-009,ANT_FABLE5_MAX,S26-09-009,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-007,ANT_FABLE5_MAX,S26-09-007,PENDING_EXTERNAL_LAUNCH
2026-09-ANT_FABLE5_MAX-S26-09-006,ANT_FABLE5_MAX,S26-09-006,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-011,GOOG_GEMINI31_PRO_HIGH,S26-09-011,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-009,GOOG_GEMINI31_PRO_HIGH,S26-09-009,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-004,GOOG_GEMINI31_PRO_HIGH,S26-09-004,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-005,GOOG_GEMINI31_PRO_HIGH,S26-09-005,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-008,GOOG_GEMINI31_PRO_HIGH,S26-09-008,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-003,GOOG_GEMINI31_PRO_HIGH,S26-09-003,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-012,GOOG_GEMINI31_PRO_HIGH,S26-09-012,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-010,GOOG_GEMINI31_PRO_HIGH,S26-09-010,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-001,GOOG_GEMINI31_PRO_HIGH,S26-09-001,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-007,GOOG_GEMINI31_PRO_HIGH,S26-09-007,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-006,GOOG_GEMINI31_PRO_HIGH,S26-09-006,PENDING_EXTERNAL_LAUNCH
2026-09-GOOG_GEMINI31_PRO_HIGH-S26-09-002,GOOG_GEMINI31_PRO_HIGH,S26-09-002,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-004,XAI_GROK46_HIGH,S26-09-004,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-005,XAI_GROK46_HIGH,S26-09-005,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-006,XAI_GROK46_HIGH,S26-09-006,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-003,XAI_GROK46_HIGH,S26-09-003,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-011,XAI_GROK46_HIGH,S26-09-011,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-009,XAI_GROK46_HIGH,S26-09-009,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-010,XAI_GROK46_HIGH,S26-09-010,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-008,XAI_GROK46_HIGH,S26-09-008,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-002,XAI_GROK46_HIGH,S26-09-002,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-007,XAI_GROK46_HIGH,S26-09-007,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-012,XAI_GROK46_HIGH,S26-09-012,PENDING_EXTERNAL_LAUNCH
2026-09-XAI_GROK46_HIGH-S26-09-001,XAI_GROK46_HIGH,S26-09-001,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-010,DS_V4PRO_MAX,S26-09-010,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-006,DS_V4PRO_MAX,S26-09-006,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-003,DS_V4PRO_MAX,S26-09-003,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-007,DS_V4PRO_MAX,S26-09-007,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-004,DS_V4PRO_MAX,S26-09-004,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-009,DS_V4PRO_MAX,S26-09-009,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-001,DS_V4PRO_MAX,S26-09-001,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-005,DS_V4PRO_MAX,S26-09-005,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-012,DS_V4PRO_MAX,S26-09-012,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-008,DS_V4PRO_MAX,S26-09-008,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-002,DS_V4PRO_MAX,S26-09-002,PENDING_EXTERNAL_LAUNCH
2026-09-DS_V4PRO_MAX-S26-09-011,DS_V4PRO_MAX,S26-09-011,PENDING_EXTERNAL_LAUNCH
